transcript_id	X5A1	X5A2	X5A3	X5W1	X5W2	X5W3	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN9348_c0_g1_i1	4	11	6	2	13	11	6A	6W	1.52843224956274	2.46065208159888	0.161171990269886	0.279250603237815
TRINITY_DN2387_c0_g1_i7	5	10	0	24	24	23	6A	6W	8.45976064183266	2.78286984337025	0.0002115571898833	0.0024953585482673
TRINITY_DN10234_c0_g1_i1	0	0	4	0	5	1	6A	6W	3.39228769585347	2.5189399468441	0.0014641344297637	0.0109163579606971
TRINITY_DN7063_c0_g1_i1	3	11	0	2	14	19	6A	6W	0.717574482352642	4.25750802103556	0.331169857590873	0.487200940593978
TRINITY_DN7516_c0_g1_i3	10	0	0	6	0	8	6A	6W	0.427054444190016	3.29132112991539	0.514116290760371	0.666474407386776
TRINITY_DN5364_c0_g1_i2	10	35	0	0	49	46	6A	6W	2.16644412692944	5.19382443642712	0.0003460055471307	0.0036767408914124
TRINITY_DN16659_c1_g1_i1	0	2	5	1	1	0	6A	6W	-5.9171390134826	0.235428383490385	0.0176435377187086	0.0609693997297685
TRINITY_DN2792_c0_g1_i2	8	32	0	0	0	0	6A	6W	1.74430647079536	2.7758821405963	0.0747913029032259	0.165714572277916
TRINITY_DN1841_c0_g1_i4	18	11	2	0	12	21	6A	6W	-0.529967560489355	0.92440350732242	0.793059887618849	0.889655392127497
TRINITY_DN5981_c0_g1_i1	2	0	11	0	2	4	6A	6W	0.513751786778262	2.83262941597422	0.633485632936607	0.768777325227999
TRINITY_DN5975_c0_g1_i1	62	96	4	0	3	4	6A	6W	2.02044348818268	0.682182229314561	0.300847392238149	0.453596403045904
TRINITY_DN1289_c0_g1_i2	22	9	0	8	10	51	6A	6W	0.911309762337369	3.68505097584636	0.336370729547032	0.492427998162599
TRINITY_DN148_c0_g1_i2	158	239	15	27	105	190	6A	6W	1.52790564477915	3.52990781406316	0.131774704027236	0.239288499725011
TRINITY_DN9495_c0_g1_i4	1	0	2	1	3	1	6A	6W	0.849247729740107	0.796273179401652	0.403178810384383	0.56170512603217
TRINITY_DN20797_c0_g1_i1	5	21	0	0	13	11	6A	6W	-8.10669747273989	2.12099291219473	1.61364729502692e-06	4.92889961949132e-05
TRINITY_DN8510_c0_g1_i5	3	5	0	1	2	11	6A	6W	-0.437427750426177	1.15641594190801	1.0	1.0
TRINITY_DN2891_c0_g1_i1	3	3	0	1	0	0	6A	6W	2.48690093034927	6.38511659290638	3.01170771816888e-05	0.0005257564897739
TRINITY_DN3695_c0_g1_i2	19	12	7	13	82	55	6A	6W	1.98196787571327	3.43410675802907	0.0155023984904767	0.0563958950213979
TRINITY_DN4430_c0_g1_i1	0	3	5	1	6	5	6A	6W	-1.13921315293904	3.74048081348323	0.0916524659629206	0.189867439009325
TRINITY_DN8182_c0_g1_i1	1	3	16	0	3	1	6A	6W	7.12282201724989	1.68114917765492	0.0190424895244584	0.064435914870926
TRINITY_DN7390_c0_g1_i4	11	14	0	0	3	15	6A	6W	5.86757342321299	0.795047944706758	0.0890634493849103	0.187213024930325
TRINITY_DN4585_c0_g1_i3	34	19	0	0	43	8	6A	6W	-1.65800565964605	0.482821665011325	0.300706024064923	0.453452130293495
TRINITY_DN6599_c0_g1_i1	24	50	5	5	59	113	6A	6W	-0.323488614531557	3.37585954896539	0.79948310870686	0.894167387769916
TRINITY_DN8285_c0_g1_i1	93	206	1	38	183	276	6A	6W	0.146829869036586	2.79406583429332	0.853509320526747	0.93111433630196
TRINITY_DN5012_c0_g1_i1	5	1	5	0	0	2	6A	6W	1.30873899482861	2.1945091665215	0.154745207877269	0.270589737825634
TRINITY_DN18947_c0_g1_i1	1	0	0	1	3	2	6A	6W	-7.2752953287658	1.3689921510999	0.0014256406980077	0.0106897762502751
TRINITY_DN5166_c0_g1_i2	9	4	0	0	0	9	6A	6W	-2.13092517956804	3.63572652924498	0.0011771707786138	0.0092969171794721
TRINITY_DN1858_c0_g1_i3	7	7	19	7	11	31	6A	6W	-0.10766517504086	2.27300394537674	1.0	1.0
TRINITY_DN3075_c0_g1_i1	82	194	0	17	168	244	6A	6W	0.186258057915817	6.16133900062279	0.744073962721295	0.853663301494435
TRINITY_DN4744_c0_g1_i2	9	0	0	0	6	21	6A	6W	-2.0250106063341	2.07697777301536	0.165756525309718	0.285673044647979
TRINITY_DN26269_c0_g1_i1	2	0	10	0	0	0	6A	6W	-4.60726961316883	0.855751939830693	0.0044575722601371	0.0235184438278248
TRINITY_DN5090_c0_g1_i2	8	19	0	0	12	17	6A	6W	3.22936428991162	2.98238218790867	0.0010795548566902	0.0087000715781294
TRINITY_DN16358_c0_g1_i1	3	0	5	0	0	0	6A	6W	-5.42482135608494	-0.0650464466519065	0.0545100931121813	0.134558213488193
TRINITY_DN4743_c0_g1_i1	2	0	0	0	0	6	6A	6W	1.16177719160524	1.58983951012185	0.270945053894961	0.4190068194875
TRINITY_DN1523_c0_g1_i3	9	0	5	0	0	10	6A	6W	-0.55549005239273	2.10592767371947	0.698262066464639	0.819490725428725
TRINITY_DN5471_c0_g1_i3	18	5	2	0	17	26	6A	6W	-1.76338674521681	0.637696808986485	0.47234688299802	0.628374906496676
TRINITY_DN886_c0_g1_i4	0	5	0	1	0	14	6A	6W	0.570732550493375	2.19675542513665	0.513424026137376	0.665941068910461
TRINITY_DN1180_c0_g1_i1	12	20	1	2	9	19	6A	6W	7.86753671889726	2.28160588354989	0.0002989916752505	0.0032744904680535
TRINITY_DN2337_c0_g1_i4	8	5	0	0	10	6	6A	6W	-0.282464317363445	2.0508674662892	0.878370699212497	0.947155328443744
TRINITY_DN6657_c0_g1_i1	0	0	3	0	3	2	6A	6W	1.64394696485409	3.13371109346154	0.365752808031062	0.523149689623003
TRINITY_DN1229_c0_g1_i3	2	7	0	0	7	5	6A	6W	2.72364591994284	9.97202914430786	3.86277862506975e-08	1.97277452845024e-06
TRINITY_DN3523_c0_g1_i7	13	22	0	0	28	34	6A	6W	-0.490615447828458	2.76761825069461	0.783251290717021	0.882039837547442
TRINITY_DN140348_c0_g1_i1	0	0	0	0	3	3	6A	6W	-4.80732594206555	-0.353713689161868	0.132704187199137	0.239288499725011
TRINITY_DN24794_c0_g1_i1	4	0	0	0	0	29	6A	6W	-7.32949129378691	1.40814354845881	0.0013909280838131	0.0105064633297292
TRINITY_DN258_c0_g1_i1	28	53	5	0	14	10	6A	6W	2.26702770504297	3.45209435918978	0.0039159733629665	0.0216171712239217
TRINITY_DN4827_c0_g1_i1	541	1427	42	208	1654	2398	6A	6W	1.59885289810586	3.54134910662406	0.0725353873665369	0.16178736650549
TRINITY_DN91493_c0_g1_i1	1	2	4	2	7	2	6A	6W	-5.05571068391407	-0.274427410422614	0.0900253931018956	0.187213024930325
TRINITY_DN49395_c0_g2_i1	5	5	0	2	8	10	6A	6W	-3.28127240489613	2.96490059655771	0.0001643439704617	0.0020479084763645
TRINITY_DN11121_c0_g1_i5	8	14	0	7	0	12	6A	6W	-0.734247480158948	1.92879053300905	0.759662081892067	0.864804540929541
TRINITY_DN3487_c0_g2_i4	56	106	0	3	57	110	6A	6W	3.87531970651461	4.27041746492984	0.0002303705058895	0.0026683431478409
TRINITY_DN27368_c0_g1_i1	22	47	1	14	52	44	6A	6W	-5.14485706566382	-0.203719208685855	0.0900253931018956	0.187213024930325
TRINITY_DN8717_c0_g1_i6	17	28	0	9	45	34	6A	6W	-0.224502844812173	2.35308479848206	0.846749490115032	0.926989026229136
TRINITY_DN2269_c0_g1_i2	66	135	21	0	141	269	6A	6W	2.93208900699555	4.63825648279859	0.0052369217071067	0.0263206806549915
TRINITY_DN2491_c0_g1_i1	2	4	27	2	2	4	6A	6W	-4.46722871001723	0.227546197290162	0.0250005743755139	0.0782839121339322
TRINITY_DN3097_c0_g1_i4	48	35	0	5	28	60	6A	6W	2.25623760764516	0.943131162392647	0.292075194426305	0.443656425445375
TRINITY_DN130403_c0_g1_i1	2	3	2	2	2	3	6A	6W	-5.29053703847044	-0.148855058499536	0.0630008419264278	0.14531288380857
TRINITY_DN14174_c0_g1_i5	0	0	1	0	1	3	6A	6W	0.649126712152155	2.41177657333742	0.673252539638245	0.800371028751148
TRINITY_DN4418_c0_g1_i11	0	19	0	0	14	20	6A	6W	-0.945689327005171	1.73299907849626	0.448477500938378	0.605590567529726
TRINITY_DN24291_c0_g1_i1	10	96	0	0	37	0	6A	6W	-0.71679571401539	0.761943364952475	0.777551829699053	0.878040138496919
TRINITY_DN11243_c0_g1_i1	16	38	0	1	12	18	6A	6W	5.60094539739381	0.61550274532014	0.0186642627922267	0.0634094413537614
TRINITY_DN6922_c0_g1_i2	7	13	0	5	19	21	6A	6W	-0.560644858147394	2.01932563261875	0.800755192265459	0.895119664897265
TRINITY_DN14236_c0_g1_i3	4	6	0	0	0	0	6A	6W	0.382135800637716	2.60018476369105	0.663113632028788	0.792404081147605
TRINITY_DN5786_c0_g1_i1	19	37	0	0	26	44	6A	6W	2.33429912996945	3.23822294791423	0.0408609146534813	0.109584523686455
TRINITY_DN5885_c0_g1_i1	15	31	8	7	28	42	6A	6W	0.594697917787172	2.02173426037805	0.766948021543159	0.870364874277154
TRINITY_DN15023_c2_g1_i1	2	1	7	0	0	1	6A	6W	-5.3512462979779	0.628800831298517	0.0108445810190381	0.0438256049547619
TRINITY_DN4437_c0_g1_i3	46	0	0	0	0	26	6A	6W	1.1772444550972	5.94490806497639	0.0695873909699442	0.156830522593598
TRINITY_DN6399_c0_g1_i2	0	12	13	1	2	0	6A	6W	1.05474673575703	1.33006267864594	0.406634496202419	0.565265287272878
TRINITY_DN7951_c0_g1_i1	0	0	9	1	0	0	6A	6W	0.639167893773888	1.89146671160439	0.507110658200225	0.660021652259815
TRINITY_DN8265_c0_g1_i6	71	116	0	10	30	55	6A	6W	6.56404943896517	1.26636348298276	0.0056320260048231	0.0276932972014622
TRINITY_DN1900_c0_g1_i2	59	73	3	9	48	79	6A	6W	-1.25560186361012	7.54270663299182	0.0283899635434559	0.0853756373676468
TRINITY_DN10289_c0_g1_i1	0	1	9	1	1	1	6A	6W	1.26858690218728	0.382822317776225	0.708120126154931	0.827019568995532
TRINITY_DN4720_c0_g1_i13	0	0	0	0	9	6	6A	6W	1.78042288534046	1.82142456044905	0.09326263955406	0.192531522082311
TRINITY_DN137795_c0_g1_i1	3	8	4	2	4	5	6A	6W	-5.21736643054788	-0.179996346612485	0.0630008419264278	0.14531288380857
TRINITY_DN842_c0_g1_i1	95	231	7	20	75	98	6A	6W	-0.682104763143891	7.33176382524371	0.161561693041699	0.279791018659132
TRINITY_DN7306_c0_g1_i1	0	1	9	0	3	2	6A	6W	0.908506949328388	2.83538837663101	0.418878839577497	0.577212064147977
TRINITY_DN12141_c0_g1_i1	0	0	3	0	0	3	6A	6W	-7.74888590214014	1.7834893470937	0.0008872225559651	0.0074988784134949
TRINITY_DN5156_c1_g2_i1	16	25	0	4	8	5	6A	6W	-6.0172615430184	0.288589381510405	0.0158934417292941	0.057216309972969
TRINITY_DN70870_c0_g1_i1	1	1	2	5	1	4	6A	6W	-5.2252428002664	-0.21684927411328	0.0630008419264278	0.14531288380857
TRINITY_DN3610_c0_g1_i5	3	0	0	10	13	29	6A	6W	0.246023451495553	0.899812021882656	0.798341824713019	0.893342349486995
TRINITY_DN345_c0_g1_i3	30	80	1	3	51	50	6A	6W	2.62255788640611	4.00196968509675	0.0055518770865814	0.027422677734346
TRINITY_DN6514_c0_g1_i2	3	3	19	0	19	17	6A	6W	-0.575906548718355	3.14743846618874	0.626834732141365	0.763306696038971
TRINITY_DN3055_c0_g1_i1	1	5	12	3	7	4	6A	6W	-3.24466791326223	6.39211305467434	5.25635187262009e-07	1.88762396477981e-05
TRINITY_DN3193_c0_g1_i7	26	39	0	8	16	31	6A	6W	-0.875133687409543	0.549266063583947	0.620564278066225	0.758084815134745
TRINITY_DN931_c0_g1_i1	9	35	0	2	48	43	6A	6W	2.73038188085052	3.27101789899163	0.011289397088776	0.0449857566521637
