GeneID	Expression_1	Expression_2	Significant
G0000	207.177	264.264	no
G0001	43.2424	38.9034	no
G0002	14.8954	12.1933	no
G0003	22.2041	24.7755	no
G0004	23.9988	32.3473	no
G0005	52.0126	45.9849	no
G0006	10.1179	8.08511	no
G0007	5.38759	6.68742	no
G0008	135.089	168.506	no
G0009	2.53293	2.75658	no
G0010	4.65223	5.71341	no
G0011	6.50388	8.7057	no
G0012	3.41863	3.44616	no
G0013	2.19634	2.44553	no
G0014	5.214	6.26063	no
G0015	4.30219	4.3713	no
G0016	8.97538	8.96575	no
G0017	17.9019	18.7467	no
G0018	7.91484	6.08039	no
G0019	4.26524	3.06484	no
G0020	5.02787	3.57238	no
G0021	22.3409	24.2625	no
G0022	9.16529	7.96437	no
G0023	6.67071	7.36149	no
G0024	6.34862	4.53424	no
G0025	9.60934	7.7201	no
G0026	10.5131	9.35825	no
G0027	19.8046	15.3173	no
G0028	19.6341	25.1292	no
G0029	4.92169	5.47998	no
G0030	83.77	78.0921	no
G0031	4.4416	3.66601	no
G0032	27.5283	33.7556	no
G0033	35.8139	42.5529	no
G0034	2.0481	2.51135	no
G0035	4.84993	6.26116	no
G0036	4.13649	3.58817	no
G0037	5.45443	7.45323	no
G0038	3.62322	3.53383	no
G0039	46.862	48.4144	no
G0040	6.02908	4.30971	no
G0041	5.07464	5.5057	no
G0042	19.2987	20.7728	no
G0043	8.11114	10.0656	no
G0044	9.77571	7.88345	no
G0045	3.68945	2.93291	no
G0046	33.3155	36.1742	no
G0047	23.82	19.3605	no
G0048	9.26624	11.2443	no
G0049	5.81967	4.71798	no
G0050	11.0664	12.6961	no
G0051	7.84739	8.41804	no
G0052	21.8985	22.6095	no
G0053	14.7874	14.9402	no
G0054	9.22542	7.88088	no
G0055	34.5	30.3923	no
G0056	12.429	13.5939	no
G0057	8.81966	11.2545	no
G0058	25.6528	25.3339	no
G0059	10.7379	11.6714	no
G0060	4.67922	6.3698	no
G0061	5.87246	7.09603	no
G0062	14.9346	17.7946	no
G0063	76.3058	81.6249	no
G0064	10.8672	8.41547	no
G0065	22.5916	26.9435	no
G0066	1.15251	0.857962	no
G0067	16.3419	14.4905	no
G0068	79.2846	67.8627	no
G0069	4.147	5.37361	no
G0070	5.66244	5.39194	no
G0071	12.5239	14.6611	no
G0072	3.71894	3.87364	no
G0073	6.2594	4.76408	no
G0074	3.80796	4.35309	no
G0075	54.7023	47.2941	no
G0076	21.1016	25.953	no
G0077	2.39853	3.21267	no
G0078	2.14593	2.85164	no
G0079	18.2989	17.278	no
G0080	33.039	27.6348	no
G0081	1.43294	1.34165	no
G0082	25.7295	36.0329	no
G0083	4.66268	5.7877	no
G0084	14.3638	13.2194	no
G0085	30.7612	38.8556	no
G0086	10.203	11.718	no
G0087	25.0559	18.7507	no
G0088	9.5937	13.5558	no
G0089	11.6564	13.9436	no
G0090	12.3053	15.5482	no
G0091	8.10975	8.04632	no
G0092	22.4637	27.0312	no
G0093	42.7985	36.0711	no
G0094	113.321	99.318	no
G0095	12.1746	10.7332	no
G0096	18.1606	14.9867	no
G0097	28.5009	30.2625	no
G0098	13.7077	10.5255	no
G0099	26.3348	37.0102	no
G0100	29.9842	30.2278	no
G0101	17.8492	23.3632	no
