GeneID	GeneName
G0000	Gene_0000
G0001	Gene_0001
G0002	Gene_0002
G0003	Gene_0003
G0004	Gene_0004
G0005	Gene_0005
G0006	Gene_0006
G0007	Gene_0007
G0008	Gene_0008
G0009	Gene_0009
G0010	Gene_0010
G0011	Gene_0011
G0012	Gene_0012
G0013	Gene_0013
G0014	Gene_0014
G0015	Gene_0015
G0016	Gene_0016
G0017	Gene_0017
G0018	Gene_0018
G0019	Gene_0019
G0020	Gene_0020
G0021	Gene_0021
G0022	Gene_0022
G0023	Gene_0023
G0024	Gene_0024
G0025	Gene_0025
G0026	Gene_0026
G0027	Gene_0027
G0028	Gene_0028
G0029	Gene_0029
G0030	Gene_0030
G0031	Gene_0031
G0032	Gene_0032
G0033	Gene_0033
G0034	Gene_0034
G0035	Gene_0035
G0036	Gene_0036
G0037	Gene_0037
G0038	Gene_0038
G0039	Gene_0039
G0040	Gene_0040
G0041	Gene_0041
G0042	Gene_0042
G0043	Gene_0043
G0044	Gene_0044
G0045	Gene_0045
G0046	Gene_0046
G0047	Gene_0047
G0048	Gene_0048
G0049	Gene_0049
G0050	Gene_0050
G0051	Gene_0051
G0052	Gene_0052
G0053	Gene_0053
G0054	Gene_0054
G0055	Gene_0055
G0056	Gene_0056
G0057	Gene_0057
G0058	Gene_0058
G0059	Gene_0059
G0060	Gene_0060
G0061	Gene_0061
G0062	Gene_0062
G0063	Gene_0063
G0064	Gene_0064
G0065	Gene_0065
G0066	Gene_0066
G0067	Gene_0067
G0068	Gene_0068
G0069	Gene_0069
G0070	Gene_0070
G0071	Gene_0071
G0072	Gene_0072
G0073	Gene_0073
G0074	Gene_0074
G0075	Gene_0075
G0076	Gene_0076
G0077	Gene_0077
G0078	Gene_0078
G0079	Gene_0079
G0080	Gene_0080
G0081	Gene_0081
G0082	Gene_0082
G0083	Gene_0083
G0084	Gene_0084
G0085	Gene_0085
G0086	Gene_0086
G0087	Gene_0087
G0088	Gene_0088
G0089	Gene_0089
G0090	Gene_0090
G0091	Gene_0091
G0092	Gene_0092
G0093	Gene_0093
G0094	Gene_0094
G0095	Gene_0095
G0096	Gene_0096
G0097	Gene_0097
G0098	Gene_0098
G0099	Gene_0099
G0100	Gene_0100
G0101	Gene_0101
G0102	Gene_0102
G0103	Gene_0103
G0104	Gene_0104
G0105	Gene_0105
G0106	Gene_0106
G0107	Gene_0107
G0108	Gene_0108
G0109	Gene_0109
G0110	Gene_0110
G0111	Gene_0111
G0112	Gene_0112
G0113	Gene_0113
G0114	Gene_0114
G0115	Gene_0115
G0116	Gene_0116
G0117	Gene_0117
G0118	Gene_0118
G0119	Gene_0119
G0120	Gene_0120
G0121	Gene_0121
G0122	Gene_0122
G0123	Gene_0123
G0124	Gene_0124
G0125	Gene_0125
G0126	Gene_0126
G0127	Gene_0127
G0128	Gene_0128
G0129	Gene_0129
G0130	Gene_0130
G0131	Gene_0131
G0132	Gene_0132
G0133	Gene_0133
G0134	Gene_0134
G0135	Gene_0135
G0136	Gene_0136
G0137	Gene_0137
G0138	Gene_0138
G0139	Gene_0139
G0140	Gene_0140
G0141	Gene_0141
G0142	Gene_0142
G0143	Gene_0143
G0144	Gene_0144
G0145	Gene_0145
G0146	Gene_0146
G0147	Gene_0147
G0148	Gene_0148
G0149	Gene_0149
G0150	Gene_0150
G0151	Gene_0151
G0152	Gene_0152
G0153	Gene_0153
G0154	Gene_0154
G0155	Gene_0155
G0156	Gene_0156
G0157	Gene_0157
G0158	Gene_0158
G0159	Gene_0159
G0160	Gene_0160
G0161	Gene_0161
G0162	Gene_0162
G0163	Gene_0163
G0164	Gene_0164
G0165	Gene_0165
G0166	Gene_0166
G0167	Gene_0167
G0168	Gene_0168
G0169	Gene_0169
G0170	Gene_0170
G0171	Gene_0171
G0172	Gene_0172
G0173	Gene_0173
G0174	Gene_0174
G0175	Gene_0175
G0176	Gene_0176
G0177	Gene_0177
G0178	Gene_0178
G0179	Gene_0179
G0180	Gene_0180
G0181	Gene_0181
G0182	Gene_0182
G0183	Gene_0183
G0184	Gene_0184
G0185	Gene_0185
G0186	Gene_0186
G0187	Gene_0187
G0188	Gene_0188
G0189	Gene_0189
G0190	Gene_0190
G0191	Gene_0191
G0192	Gene_0192
G0193	Gene_0193
G0194	Gene_0194
G0195	Gene_0195
G0196	Gene_0196
G0197	Gene_0197
G0198	Gene_0198
G0199	Gene_0199
G0200	Gene_0200
G0201	Gene_0201
G0202	Gene_0202
G0203	Gene_0203
G0204	Gene_0204
G0205	Gene_0205
G0206	Gene_0206
G0207	Gene_0207
G0208	Gene_0208
G0209	Gene_0209
G0210	Gene_0210
G0211	Gene_0211
G0212	Gene_0212
G0213	Gene_0213
G0214	Gene_0214
G0215	Gene_0215
G0216	Gene_0216
G0217	Gene_0217
G0218	Gene_0218
G0219	Gene_0219
G0220	Gene_0220
G0221	Gene_0221
G0222	Gene_0222
G0223	Gene_0223
G0224	Gene_0224
G0225	Gene_0225
G0226	Gene_0226
G0227	Gene_0227
G0228	Gene_0228
G0229	Gene_0229
G0230	Gene_0230
G0231	Gene_0231
G0232	Gene_0232
G0233	Gene_0233
G0234	Gene_0234
G0235	Gene_0235
G0236	Gene_0236
G0237	Gene_0237
G0238	Gene_0238
G0239	Gene_0239
G0240	Gene_0240
G0241	Gene_0241
G0242	Gene_0242
G0243	Gene_0243
G0244	Gene_0244
G0245	Gene_0245
G0246	Gene_0246
G0247	Gene_0247
G0248	Gene_0248
G0249	Gene_0249
G0250	Gene_0250
G0251	Gene_0251
G0252	Gene_0252
G0253	Gene_0253
G0254	Gene_0254
G0255	Gene_0255
G0256	Gene_0256
G0257	Gene_0257
G0258	Gene_0258
G0259	Gene_0259
G0260	Gene_0260
G0261	Gene_0261
G0262	Gene_0262
G0263	Gene_0263
G0264	Gene_0264
G0265	Gene_0265
G0266	Gene_0266
G0267	Gene_0267
G0268	Gene_0268
G0269	Gene_0269
G0270	Gene_0270
G0271	Gene_0271
G0272	Gene_0272
G0273	Gene_0273
G0274	Gene_0274
G0275	Gene_0275
G0276	Gene_0276
G0277	Gene_0277
G0278	Gene_0278
G0279	Gene_0279
G0280	Gene_0280
G0281	Gene_0281
G0282	Gene_0282
G0283	Gene_0283
G0284	Gene_0284
G0285	Gene_0285
G0286	Gene_0286
G0287	Gene_0287
G0288	Gene_0288
G0289	Gene_0289
G0290	Gene_0290
G0291	Gene_0291
G0292	Gene_0292
G0293	Gene_0293
G0294	Gene_0294
G0295	Gene_0295
G0296	Gene_0296
G0297	Gene_0297
G0298	Gene_0298
G0299	Gene_0299
G0300	Gene_0300
G0301	Gene_0301
G0302	Gene_0302
G0303	Gene_0303
G0304	Gene_0304
G0305	Gene_0305
G0306	Gene_0306
G0307	Gene_0307
G0308	Gene_0308
G0309	Gene_0309
G0310	Gene_0310
G0311	Gene_0311
G0312	Gene_0312
G0313	Gene_0313
G0314	Gene_0314
G0315	Gene_0315
G0316	Gene_0316
G0317	Gene_0317
G0318	Gene_0318
G0319	Gene_0319
G0320	Gene_0320
G0321	Gene_0321
G0322	Gene_0322
G0323	Gene_0323
G0324	Gene_0324
G0325	Gene_0325
G0326	Gene_0326
G0327	Gene_0327
G0328	Gene_0328
G0329	Gene_0329
G0330	Gene_0330
G0331	Gene_0331
G0332	Gene_0332
G0333	Gene_0333
G0334	Gene_0334
G0335	Gene_0335
G0336	Gene_0336
G0337	Gene_0337
G0338	Gene_0338
G0339	Gene_0339
G0340	Gene_0340
G0341	Gene_0341
G0342	Gene_0342
G0343	Gene_0343
G0344	Gene_0344
G0345	Gene_0345
G0346	Gene_0346
G0347	Gene_0347
G0348	Gene_0348
G0349	Gene_0349
G0350	Gene_0350
G0351	Gene_0351
G0352	Gene_0352
G0353	Gene_0353
G0354	Gene_0354
G0355	Gene_0355
G0356	Gene_0356
G0357	Gene_0357
G0358	Gene_0358
G0359	Gene_0359
G0360	Gene_0360
G0361	Gene_0361
G0362	Gene_0362
G0363	Gene_0363
G0364	Gene_0364
G0365	Gene_0365
G0366	Gene_0366
G0367	Gene_0367
G0368	Gene_0368
G0369	Gene_0369
G0370	Gene_0370
G0371	Gene_0371
G0372	Gene_0372
G0373	Gene_0373
G0374	Gene_0374
G0375	Gene_0375
G0376	Gene_0376
G0377	Gene_0377
G0378	Gene_0378
G0379	Gene_0379
G0380	Gene_0380
G0381	Gene_0381
G0382	Gene_0382
G0383	Gene_0383
G0384	Gene_0384
G0385	Gene_0385
G0386	Gene_0386
G0387	Gene_0387
G0388	Gene_0388
G0389	Gene_0389
G0390	Gene_0390
G0391	Gene_0391
G0392	Gene_0392
G0393	Gene_0393
G0394	Gene_0394
G0395	Gene_0395
G0396	Gene_0396
G0397	Gene_0397
G0398	Gene_0398
G0399	Gene_0399
G0400	Gene_0400
G0401	Gene_0401
G0402	Gene_0402
G0403	Gene_0403
G0404	Gene_0404
G0405	Gene_0405
G0406	Gene_0406
G0407	Gene_0407
G0408	Gene_0408
G0409	Gene_0409
G0410	Gene_0410
G0411	Gene_0411
G0412	Gene_0412
G0413	Gene_0413
G0414	Gene_0414
G0415	Gene_0415
G0416	Gene_0416
G0417	Gene_0417
G0418	Gene_0418
G0419	Gene_0419
G0420	Gene_0420
G0421	Gene_0421
G0422	Gene_0422
G0423	Gene_0423
G0424	Gene_0424
G0425	Gene_0425
G0426	Gene_0426
G0427	Gene_0427
G0428	Gene_0428
G0429	Gene_0429
G0430	Gene_0430
G0431	Gene_0431
G0432	Gene_0432
G0433	Gene_0433
G0434	Gene_0434
G0435	Gene_0435
G0436	Gene_0436
G0437	Gene_0437
G0438	Gene_0438
G0439	Gene_0439
G0440	Gene_0440
G0441	Gene_0441
G0442	Gene_0442
G0443	Gene_0443
G0444	Gene_0444
G0445	Gene_0445
G0446	Gene_0446
G0447	Gene_0447
G0448	Gene_0448
G0449	Gene_0449
G0450	Gene_0450
G0451	Gene_0451
G0452	Gene_0452
G0453	Gene_0453
G0454	Gene_0454
G0455	Gene_0455
G0456	Gene_0456
G0457	Gene_0457
G0458	Gene_0458
G0459	Gene_0459
G0460	Gene_0460
G0461	Gene_0461
G0462	Gene_0462
G0463	Gene_0463
G0464	Gene_0464
G0465	Gene_0465
G0466	Gene_0466
G0467	Gene_0467
G0468	Gene_0468
G0469	Gene_0469
G0470	Gene_0470
G0471	Gene_0471
G0472	Gene_0472
G0473	Gene_0473
G0474	Gene_0474
G0475	Gene_0475
G0476	Gene_0476
G0477	Gene_0477
G0478	Gene_0478
G0479	Gene_0479
G0480	Gene_0480
G0481	Gene_0481
G0482	Gene_0482
G0483	Gene_0483
G0484	Gene_0484
G0485	Gene_0485
G0486	Gene_0486
G0487	Gene_0487
G0488	Gene_0488
G0489	Gene_0489
G0490	Gene_0490
G0491	Gene_0491
G0492	Gene_0492
G0493	Gene_0493
G0494	Gene_0494
G0495	Gene_0495
G0496	Gene_0496
G0497	Gene_0497
G0498	Gene_0498
G0499	Gene_0499
G0500	Gene_0500
G0501	Gene_0501
G0502	Gene_0502
G0503	Gene_0503
G0504	Gene_0504
G0505	Gene_0505
G0506	Gene_0506
G0507	Gene_0507
G0508	Gene_0508
G0509	Gene_0509
G0510	Gene_0510
G0511	Gene_0511
G0512	Gene_0512
G0513	Gene_0513
G0514	Gene_0514
G0515	Gene_0515
G0516	Gene_0516
G0517	Gene_0517
G0518	Gene_0518
G0519	Gene_0519
G0520	Gene_0520
G0521	Gene_0521
G0522	Gene_0522
G0523	Gene_0523
G0524	Gene_0524
G0525	Gene_0525
G0526	Gene_0526
G0527	Gene_0527
G0528	Gene_0528
G0529	Gene_0529
G0530	Gene_0530
G0531	Gene_0531
G0532	Gene_0532
G0533	Gene_0533
G0534	Gene_0534
G0535	Gene_0535
G0536	Gene_0536
G0537	Gene_0537
G0538	Gene_0538
G0539	Gene_0539
G0540	Gene_0540
G0541	Gene_0541
G0542	Gene_0542
G0543	Gene_0543
G0544	Gene_0544
G0545	Gene_0545
G0546	Gene_0546
G0547	Gene_0547
G0548	Gene_0548
G0549	Gene_0549
G0550	Gene_0550
G0551	Gene_0551
G0552	Gene_0552
G0553	Gene_0553
G0554	Gene_0554
G0555	Gene_0555
G0556	Gene_0556
G0557	Gene_0557
G0558	Gene_0558
G0559	Gene_0559
G0560	Gene_0560
G0561	Gene_0561
G0562	Gene_0562
G0563	Gene_0563
G0564	Gene_0564
G0565	Gene_0565
G0566	Gene_0566
G0567	Gene_0567
G0568	Gene_0568
G0569	Gene_0569
G0570	Gene_0570
G0571	Gene_0571
G0572	Gene_0572
G0573	Gene_0573
G0574	Gene_0574
G0575	Gene_0575
G0576	Gene_0576
G0577	Gene_0577
G0578	Gene_0578
G0579	Gene_0579
G0580	Gene_0580
