100	50	46
200	51	45
300	48	48
400	48	48
500	48	48
600	49	47
700	49	47
800	47	49
900	43	53
1000	42	54
1100	40	56
1200	36	60
1300	34	62
1400	34	62
1500	33	63
1600	29	67
1700	28	68
1800	24	72
1900	25	71
2000	23	73
2100	18	78
2200	15	81
2300	12	84
2400	10	86
2500	6	90
2600	4	92
2700	0	96
2800	0	96
2900	0	96
3000	3	93
3100	6	90
3200	9	87
3300	10	86
3400	13	83
3500	20	76
3600	22	74
3700	25	71
3800	27	69
3900	28	68
4000	29	67
4100	31	65
4200	36	60
4300	39	57
4400	43	53
4500	44	52
4600	43	53
4700	43	53
4800	45	51
4900	48	48
5000	47	49
