gene_id	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5
gene_01	1.265	4.425	6.210	1.801	2.964	7.800	3.656	4.636	8.137	5.344
gene_02	1.929	0.351	1.226	0.649	1.560	2.162	2.360	0.251	0.526	1.938
gene_03	0.922	5.310	3.472	1.059	0.560	0.436	4.294	4.691	3.969	1.067
gene_04	11.100	0.818	2.298	1.788	1.454	19.264	3.447	1.005	1.059	2.182
gene_05	12.871	10.404	21.190	13.153	11.999	11.715	12.731	13.615	18.442	13.377
gene_06	2.017	0.400	1.135	2.008	3.054	2.209	4.797	2.321	2.797	4.099
gene_07	4.174	4.691	2.201	1.443	1.596	4.965	14.505	12.409	19.850	5.879
gene_08	9.740	9.437	12.724	11.737	12.856	3.871	2.484	3.474	2.010	7.630
gene_09	0.914	0.577	0.449	0.752	0.822	2.916	4.072	7.139	9.739	2.918
gene_10	1.881	1.217	1.327	1.198	1.944	0.599	0.996	0.697	0.130	0.803
