transcript_id	blastx_id	blastx_full	Higher_expression
TRINITY_DN22077_c1_g1_i1	TIP12_ORYSJ	Probable aquaporin TIP1-2	5A
TRINITY_DN76957_c0_g1_i1	.	.	5A
TRINITY_DN16662_c0_g1_i6	FTSH_TOBAC	ATP-dependent zinc metalloprotease FTSH, chloroplastic	5W
TRINITY_DN2833_c0_g1_i1	CYTM_SOLTU	Multicystatin	5A
TRINITY_DN3414_c1_g1_i4	DYL1_RAT	Dynein light chain 1, cytoplasmic	5W
TRINITY_DN3461_c0_g2_i1	.	.	5W
TRINITY_DN80425_c0_g1_i1	DIR21_ARATH	Dirigent protein 21	5W
TRINITY_DN80446_c0_g1_i1	.	.	5W
TRINITY_DN80441_c0_g1_i1	.	.	5A
TRINITY_DN12880_c0_g1_i8	.	.	5W
TRINITY_DN6253_c0_g1_i1	PSBB_COFAR	Photosystem II CP47 reaction center protein {ECO:0000255|HAMAP-Rule:MF_01495}	5A
TRINITY_DN34279_c0_g1_i1	PPA1_SOLLC	Acid phosphatase 1	5A
TRINITY_DN34279_c0_g1_i2	PPA1_SOLLC	Acid phosphatase 1	5A
TRINITY_DN17210_c0_g1_i2	GLYI4_ARATH	Glyoxylase I 4 {ECO:0000303|PubMed:30483284, ECO:0000303|PubMed:31652571}	5W
TRINITY_DN67259_c0_g1_i1	.	.	5W
TRINITY_DN3908_c0_g1_i7	.	.	5W
TRINITY_DN752_c0_g1_i15	GCC1_ARATH	Guanylyl cyclase 1 {ECO:0000303|PubMed:12482758}	5W
TRINITY_DN784_c0_g1_i35	PPDK_MESCR	Pyruvate, phosphate dikinase, chloroplastic	5W
TRINITY_DN784_c0_g1_i9	PPDK_MESCR	Pyruvate, phosphate dikinase, chloroplastic	5W
TRINITY_DN780_c1_g1_i1	.	.	5W
TRINITY_DN780_c1_g1_i2	.	.	5W
TRINITY_DN984_c0_g1_i21	RBS2_ORYSJ	Ribulose bisphosphate carboxylase small subunit, chloroplastic 2 {ECO:0000255|HAMAP-Rule:MF_00860}	5A
TRINITY_DN952_c0_g1_i30	DEGP1_ARATH	Protease Do-like 1, chloroplastic	5A
TRINITY_DN52337_c0_g1_i6	REP1_MDV1	Para-Rep C1	5A
