transcript_id	blastx_id	blastx_full	Higher_expression
TRINITY_DN534_c0_g1_i1	APS1_ARATH	ATP sulfurylase 1, chloroplastic	Str
TRINITY_DN534_c0_g1_i2	APS1_ARATH	ATP sulfurylase 1, chloroplastic	Crl
TRINITY_DN578_c2_g1_i1	ERFL1_ARATH	Ethylene-responsive transcription factor-like protein At4g13040	Str
TRINITY_DN2831_c0_g2_i9	TIC_ARATH	Protein TIME FOR COFFEE	Str
TRINITY_DN2864_c0_g2_i2	PUB9_ARATH	U-box domain-containing protein 9	Crl
TRINITY_DN6800_c0_g3_i3	GCSP_SOLTU	Glycine dehydrogenase (decarboxylating), mitochondrial	Crl
TRINITY_DN6222_c0_g1_i3	.	.	Str
TRINITY_DN769_c0_g1_i1	CHR5_ARATH	Protein CHROMATIN REMODELING 5 {ECO:0000303|PubMed:16547115}	Str
TRINITY_DN769_c0_g1_i2	CHR5_ARATH	Protein CHROMATIN REMODELING 5 {ECO:0000303|PubMed:16547115}	Crl
TRINITY_DN939_c0_g1_i1	RL8_SOLLC	60S ribosomal protein L8	Str
TRINITY_DN978_c0_g1_i1	PSBB_VITVI	Photosystem II CP47 reaction center protein {ECO:0000255|HAMAP-Rule:MF_01495}	Str
TRINITY_DN978_c0_g1_i11	RPOA_VITVI	DNA-directed RNA polymerase subunit alpha {ECO:0000255|HAMAP-Rule:MF_00059}	Str
TRINITY_DN3731_c0_g1_i4	SMG7_ARATH	Nonsense-mediated mRNA decay factor SMG7 {ECO:0000250|UniProtKB:Q92540}	Str
TRINITY_DN1912_c0_g1_i1	TCMO_CATRO	Trans-cinnamate 4-monooxygenase	Str
TRINITY_DN344_c0_g1_i2	FPP4_ARATH	Filament-like plant protein 4	Crl
TRINITY_DN344_c0_g1_i7	FPP4_ARATH	Filament-like plant protein 4	Str
TRINITY_DN366_c0_g1_i4	GATA5_ARATH	GATA transcription factor 5	Str
TRINITY_DN1149_c0_g1_i1	GDL71_ARATH	GDSL esterase/lipase At5g03610	Str
TRINITY_DN1149_c0_g1_i20	GDL71_ARATH	GDSL esterase/lipase At5g03610	Str
TRINITY_DN1192_c0_g1_i2	HIS8_ARATH	Histidinol dehydrogenase, chloroplastic	Str
TRINITY_DN1127_c0_g1_i9	CSLG3_ARATH	Cellulose synthase-like protein G3	Str
TRINITY_DN71276_c0_g1_i1	.	.	Crl
TRINITY_DN281_c0_g1_i6	AROG_SOLLC	Phospho-2-dehydro-3-deoxyheptonate aldolase 2, chloroplastic	Crl
TRINITY_DN21375_c0_g1_i1	TPC1B_TOBAC	Two pore calcium channel protein 1B	Str
TRINITY_DN5897_c0_g1_i12	TM147_XENLA	Transmembrane protein 147	Str
TRINITY_DN5897_c0_g1_i5	TM147_XENLA	Transmembrane protein 147	Str
TRINITY_DN1611_c0_g1_i2	TRXM_SPIOL	Thioredoxin M-type, chloroplastic	Str
TRINITY_DN833_c0_g1_i5	NRT32_ARATH	High-affinity nitrate transporter 3.2 {ECO:0000303|PubMed:16415212}	Str
TRINITY_DN803_c0_g1_i2	GPAT3_ARATH	Probable glycerol-3-phosphate acyltransferase 3	Str
TRINITY_DN816_c0_g1_i3	LOL1_ARATH	Protein LOL1	Str
TRINITY_DN822_c0_g1_i1	NCER1_ARATH	Neutral ceramidase 1 {ECO:0000303|PubMed:26150824}	Crl
