GeneID	Gene_Start_position	Gene_End_position	Oryza_islolate_cover_bp	Setaria_islolate_cover_bp
g2112	1	843	827	842
g2113	3687	4205	519	519
g2114	5959	7587	1629	1628
g2115	7974	10600	2627	2627
g2116	11077	12093	1017	1017
g2117	18558	21237	2680	2680
g2118	22480	24524	2032	2038
g2119	25759	27188	1415	1430
g2120	28902	31397	2496	2496
g2121	36358	37626	1269	1269
g2122	38732	40787	2056	2056
g2123	41553	42383	831	831
g2124	42733	44646	1914	1914
g2125	46521	47381	861	861
g2126	50767	51679	913	913
g2127	53807	54457	651	641
g2128	56820	58692	1873	1873
g2129	66827	69690	2864	2835
g2130	70778	71269	492	492
g2131	74207	76039	1833	1833
g2132	77841	78287	447	447
g2133	79287	80684	1398	1398
g2134	81288	82183	896	896
g2135	86434	86882	449	449
g2136	88540	89648	1109	1080
g2137	90303	91037	735	735
g2138	91978	92466	489	467
g2139	93558	95822	2265	2265
g2140	96435	97397	963	963
g2141	98550	99791	1242	1242
g2142	100657	102012	1356	1356
g2143	105119	105835	717	717
g2144	109742	111211	1470	1470
g2145	111933	115174	3242	3242
g2146	116273	116733	461	461
g2147	117549	120306	2758	2758
g2148	123744	126742	2999	2999
g2149	128655	132760	4106	4106
g2150	133817	134351	535	535
g2151	135627	136395	769	769
g2152	137069	138311	1243	1243
g2153	141068	142779	1712	1712
g2154	144377	145987	1611	1611
g2155	149283	150987	1705	1705
g2156	152409	154918	2510	2510
g2157	157535	159001	1467	1467
g2158	159990	160713	724	724
g2159	161530	163374	1845	1845
g2160	165657	166171	515	515
g2161	170082	172278	2197	2197
g2162	173747	174773	1027	1027
g2163	175129	175856	728	728
g2164	177015	177802	788	788
g2165	178450	182757	4308	4308
g2166	183822	185403	1582	1582
g2167	186047	187996	1950	1950
g2168	201430	202834	1405	1405
g2169	211000	213580	2581	2581
g2170	215175	218579	3405	3405
g2171	219241	219651	411	411
g2172	222139	224142	2004	2004
g2173	233228	236906	3679	3679
g2174	240690	241397	708	708
g2175	242178	245612	3435	3435
g2176	248503	249460	958	958
g2177	249652	250118	467	467
g2178	251865	252698	834	834
g2179	253248	255601	2354	2354
g2180	260365	261592	1228	1228
g2181	270292	272024	1733	1733
g2182	272451	273541	1091	1083
g2183	274886	275143	258	258
g2184	278003	278652	650	650
g2185	281344	283233	1890	1890
g2186	283653	284614	962	962
g2187	286244	287063	820	820
g2188	287869	288383	515	515
g2189	289719	290935	1217	1217
g2190	291907	294294	2388	2388
g2191	294857	296743	1887	1887
g2192	298329	299562	1234	1234
g2193	300732	301697	966	966
g2194	302701	303759	1059	1059
g2195	304884	305732	849	849
g2196	306208	308264	2057	2057
g2197	308461	309939	1479	1479
g2198	312628	313188	561	561
g2199	315665	318119	2455	2455
g2200	321656	323771	2116	2116
g2201	325551	327791	2241	2241
g2202	330473	332041	1569	1569
g2203	334040	336942	2903	2903
g2204	337687	338982	1296	1296
g2205	340487	343330	2844	2844
g2206	344765	347224	2460	2460
g2207	347831	348740	910	910
g2208	350216	351566	1351	1351
g2209	359675	361042	1368	1368
g2210	372042	374058	2017	2017
g2211	374988	377218	2231	2231
g2212	378442	382357	3916	3916
g2213	384463	388884	4422	4422
g2214	393282	395351	2070	2070
g2215	395821	397058	1238	1238
g2216	397329	398672	1344	1344
g2217	400187	401937	1751	1751
g2218	406703	407813	1111	1111
g2219	410265	411874	1610	1610
g2220	412623	414123	1501	1501
g2221	414863	415963	1101	1101
g2222	416639	417249	611	611
g2223	419179	421593	2415	2415
g2224	424819	427206	2388	2388
g2225	437588	440029	2442	2442
g2226	443128	444658	1531	1531
g2227	444748	445474	727	727
g2228	446364	448401	2038	2038
g2229	452066	454333	2268	2268
g2230	456382	457874	1493	1493
g2231	459352	461530	2179	2179
g2232	463704	464671	968	968
g2233	465607	468502	2896	2896
g2234	473243	473701	459	459
g2235	475466	476347	882	882
g2236	478781	484307	5527	5527
g2237	486169	487125	957	957
g2238	487193	488999	1807	1807
g2239	489937	491586	1650	1650
g2240	492136	493561	1426	1425
g2241	496019	497468	1450	1450
g2242	498105	500412	2308	2308
g2243	502368	503813	1446	1446
g2244	506399	508054	1656	1656
g2245	508889	509907	1019	1019
g2246	510403	511607	1205	1205
g2247	512056	515324	3269	3269
g2248	515640	516149	510	510
g2249	518800	519201	402	402
g2250	522511	523634	1124	1124
g2251	524921	526965	2045	2045
g2252	527820	531048	3229	3229
g2253	535272	535850	579	579
g2254	536075	536926	852	852
g2255	539332	540441	1110	1110
g2256	541690	543668	1979	1979
g2257	547279	550975	3697	3697
g2258	551851	552431	581	581
g2259	553950	554536	587	587
g2260	555280	555848	569	569
g2261	556292	556785	494	494
g2262	557436	559292	1857	1857
g2263	560137	560899	763	763
g2264	561625	564284	2660	2660
g2265	564713	565778	1066	1066
g2266	569829	572012	2184	2184
g2267	582419	589189	6771	6771
g2268	594811	596163	1353	1353
g2269	602785	603699	915	915
g2270	608514	611661	3148	3148
g2271	628673	630052	1380	1380
g2272	631682	634581	2900	2900
g2273	635316	635951	636	636
g2274	637443	639006	1564	1564
g2275	639658	641553	1896	1896
g2276	641928	642965	1038	1038
g2277	645434	645787	354	354
g2278	645839	647152	1314	1314
g2279	647353	649095	1743	1743
g2280	651258	655981	4724	4724
g2281	659876	660340	465	465
g2282	662388	664100	1713	1713
g2283	670908	673345	2438	2438
g2284	674557	676332	1776	1776
g2285	677758	678911	1154	1154
g2286	688741	692188	3448	3448
g2287	693044	695025	1982	1982
g2288	695827	699082	3256	3256
g2289	700615	702817	2203	2203
g2290	707429	708041	613	613
g2291	708095	708526	432	432
g2292	709343	711008	1666	1666
g2293	711868	712880	1013	1013
g2294	713411	714692	1282	1282
g2295	716489	718882	2394	2394
g2296	720770	721642	873	873
g2297	722306	724834	2529	2529
g2298	726414	727263	850	850
g2299	727657	728919	1263	1263
g2300	734604	741518	6915	6915
g2301	743056	745691	2636	2636
g2302	746117	747155	1039	1039
g2303	747744	750509	2766	2766
g2304	752032	753841	1789	1651
g2305	756362	758325	1964	1964
g2306	758737	759741	1005	1005
g2307	760786	761622	837	837
g2308	761937	762995	1059	1059
g2309	765994	767636	1643	1643
g2310	769002	771115	2114	2114
g2311	774354	775788	1435	1435
g2312	778554	779853	1300	1300
g2313	780124	784399	4276	4276
g2314	785750	786357	608	608
g2315	793276	794469	1194	1194
g2316	795913	797167	1255	1255
g2317	798480	799343	864	864
g2318	801418	801774	357	357
g2319	802318	805173	2856	2856
g2320	806162	808720	2522	2525
g2321	809732	810466	735	735
g2322	810610	811762	1153	1153
g2323	812440	813549	1110	1110
g2324	814879	816076	1198	1198
g2325	817741	819634	1894	1894
g2326	820760	822352	1593	1593
g2327	824511	826072	1562	1562
g2328	826527	827505	979	979
g2329	832586	835103	2518	2518
g2330	835351	837611	2261	2261
g2331	839637	843022	3386	3386
g2332	846096	846713	618	618
g2333	847218	848293	1076	1076
g2334	849721	850767	1047	1047
g2335	854052	856738	2687	2687
g2336	857929	861155	3227	3227
g2337	862097	864440	2344	2344
g2338	864879	866688	1810	1810
g2339	867541	870213	2673	2673
g2340	870785	873642	2858	2858
g2341	877293	879956	2664	2664
g2342	883466	883749	284	284
g2343	884101	885721	1621	1621
g2344	886512	887468	957	957
g2345	888934	890925	1992	1992
g2346	903936	905523	1588	1588
g2347	908596	909672	1077	1077
g2348	910509	912644	2136	2136
g2349	913292	915666	2375	2375
g2350	916435	917142	708	708
g2351	917762	918817	1056	1056
g2352	920883	922885	2003	2003
g2353	923416	924939	1524	1524
g2354	929052	932406	3355	3355
g2355	932771	933748	978	978
g2356	934396	937447	3052	3052
g2357	938131	939049	919	919
g2358	939308	941642	2335	2335
g2359	942477	944560	2084	2084
g2360	945371	946347	977	977
g2361	947462	948449	988	988
g2362	949932	953090	3159	3159
g2363	967466	967708	243	243
g2364	969202	971372	2171	2171
