transcript_id	Nezu_1	Hino_1	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN4656_c0_g1_i1	482	317	Nezu_1	Hino_1	0.534182908906919	5.14826214430477	0.425699526243611	1.0
TRINITY_DN3374_c0_g1_i4	890	860	Nezu_1	Hino_1	-0.0207240109036587	6.28175923061786	0.977977608081516	1.0
TRINITY_DN2059_c0_g1_i2	123	95	Nezu_1	Hino_1	0.302113360657236	3.29645241583106	0.667588227019455	1.0
TRINITY_DN3854_c0_g1_i1	210	172	Nezu_1	Hino_1	0.21764187645358	4.09516967470254	0.751405179530777	1.0
TRINITY_DN10774_c0_g1_i3	29	39	Nezu_1	Hino_1	-0.495765636877089	1.67865668587739	0.527962246082057	1.0
TRINITY_DN751_c0_g1_i7	621	816	Nezu_1	Hino_1	-0.464089710321798	6.00337683414176	0.483312782616011	1.0
TRINITY_DN3757_c0_g1_i2	43	36	Nezu_1	Hino_1	0.185554357923836	1.87867004452455	0.841623524003543	1.0
TRINITY_DN2666_c0_g1_i1	1712	2307	Nezu_1	Hino_1	-0.500499320640409	7.48511079112321	0.446521181651059	1.0
TRINITY_DN15473_c0_g1_i3	77	58	Nezu_1	Hino_1	0.337976464406261	2.62093711351417	0.643787726431371	1.0
TRINITY_DN8518_c0_g2_i1	179	185	Nezu_1	Hino_1	-0.117680496587803	4.02991999330587	0.868943386187184	1.0
TRINITY_DN11991_c0_g1_i3	15	15	Nezu_1	Hino_1	-0.0696156324236062	0.592889253347356	1.0	1.0
TRINITY_DN10234_c0_g1_i1	238	129	Nezu_1	Hino_1	0.81280748678756	4.03178646187179	0.233679074747016	1.0
TRINITY_DN1110_c0_g2_i3	80	69	Nezu_1	Hino_1	0.14296742892828	2.76112607745531	0.867337032853816	1.0
TRINITY_DN2883_c0_g1_i2	23	63	Nezu_1	Hino_1	-1.51869460776376	2.00828260664103	0.0427392337433361	0.853649024456173
TRINITY_DN13394_c0_g1_i1	19	11	Nezu_1	Hino_1	0.712082432141279	0.589094946179874	0.421155800327721	1.0
TRINITY_DN1215_c0_g1_i14	32	49	Nezu_1	Hino_1	-0.682730773792024	1.91979527021128	0.374649302617643	1.0
TRINITY_DN8566_c0_g1_i3	1184	1757	Nezu_1	Hino_1	-0.639584888995013	7.03669429688333	0.331906922128668	1.0
TRINITY_DN615_c1_g1_i4	67	111	Nezu_1	Hino_1	-0.797352160595511	3.02050501010212	0.253383233126776	1.0
TRINITY_DN3776_c0_g1_i2	4996	1386	Nezu_1	Hino_1	1.7795606030591	8.12677732865586	0.0082869433761868	0.466049831953834
TRINITY_DN1183_c0_g1_i5	25	16	Nezu_1	Hino_1	0.570075407602823	0.993628326385491	0.526087137053861	1.0
TRINITY_DN8236_c1_g1_i1	14	23	Nezu_1	Hino_1	-0.780897946878938	0.866922367778735	0.392904462663805	1.0
TRINITY_DN3666_c0_g1_i1	294	323	Nezu_1	Hino_1	-0.205830119239906	4.78586563329969	0.762038629595751	1.0
TRINITY_DN6870_c0_g1_i1	211	159	Nezu_1	Hino_1	0.33778960334405	4.04832433813083	0.623338129762945	1.0
TRINITY_DN9421_c0_g1_i2	88	49	Nezu_1	Hino_1	0.773037363759127	2.63770421842512	0.281411166714643	1.0
TRINITY_DN5136_c0_g1_i1	77	124	Nezu_1	Hino_1	-0.75662666470212	3.19198314291449	0.280290684494825	1.0
TRINITY_DN7485_c0_g1_i1	24	16	Nezu_1	Hino_1	0.511487989341139	0.961575309879007	0.579400586227009	1.0
TRINITY_DN7002_c0_g1_i1	214	153	Nezu_1	Hino_1	0.413596885697167	4.03590177274692	0.547130941207874	1.0
TRINITY_DN11070_c0_g1_i1	47	30	Nezu_1	Hino_1	0.575574418770845	1.84053932497474	0.471443159178037	1.0
TRINITY_DN331_c0_g1_i1	2520	1788	Nezu_1	Hino_1	0.424856247916701	7.57415271208561	0.517887912409813	1.0
TRINITY_DN14769_c0_g1_i1	34	28	Nezu_1	Hino_1	0.209064802741651	1.5479866282498	0.852572160946532	1.0
TRINITY_DN370_c0_g1_i10	784	619	Nezu_1	Hino_1	0.270669973092908	5.96030795939324	0.682995694928727	1.0
TRINITY_DN10096_c0_g1_i1	353	365	Nezu_1	Hino_1	-0.118382703092579	5.00229235837645	0.865234553898839	1.0
TRINITY_DN13420_c0_g1_i4	81	63	Nezu_1	Hino_1	0.291862999812668	2.7118249324974	0.708207422645138	1.0
TRINITY_DN10463_c0_g1_i2	14	27	Nezu_1	Hino_1	-1.01109569353876	1.00271304844944	0.252505408599599	1.0
TRINITY_DN51012_c0_g1_i2	16	23	Nezu_1	Hino_1	-0.589888162554584	0.934706459864683	0.526087137053861	1.0
TRINITY_DN2792_c0_g1_i2	90	136	Nezu_1	Hino_1	-0.665047544447244	3.35725567526319	0.345529356589213	1.0
TRINITY_DN5981_c0_g1_i1	67	53	Nezu_1	Hino_1	0.26741151352839	2.45690350674857	0.730928093251939	1.0
TRINITY_DN1895_c0_g1_i8	173	131	Nezu_1	Hino_1	0.330734439354445	3.76837224574999	0.630211788990391	1.0
TRINITY_DN14530_c0_g1_i1	48	55	Nezu_1	Hino_1	-0.265945141583403	2.24881648343156	0.753319636764575	1.0
TRINITY_DN7152_c0_g1_i2	14	31	Nezu_1	Hino_1	-1.20956717725031	1.12692496528557	0.162194339527866	1.0
TRINITY_DN14145_c0_g1_i1	70	123	Nezu_1	Hino_1	-0.882220426070408	3.1356619590433	0.207335261543523	1.0
TRINITY_DN13697_c0_g1_i2	319	314	Nezu_1	Hino_1	-0.047385072080854	4.82076895022143	0.945228710642009	1.0
TRINITY_DN4741_c0_g1_i1	55	93	Nezu_1	Hino_1	-0.826530745457905	2.76060267285029	0.257756096042701	1.0
TRINITY_DN9520_c0_g1_i1	276	156	Nezu_1	Hino_1	0.752468275228729	4.2651695701901	0.269629059969535	1.0
TRINITY_DN3588_c0_g1_i4	34	11	Nezu_1	Hino_1	1.54735092867593	1.11114788477086	0.06785228161336	0.983645024843897
TRINITY_DN10424_c0_g1_i1	49	27	Nezu_1	Hino_1	0.786889627835441	1.82110929340647	0.319771004541964	1.0
TRINITY_DN7412_c0_g2_i1	24	32	Nezu_1	Hino_1	-0.483044805634075	1.41525654866304	0.540510352075308	1.0
TRINITY_DN8770_c0_g1_i2	93	73	Nezu_1	Hino_1	0.278715240358399	2.91180112074035	0.705657025516888	1.0
TRINITY_DN13809_c0_g1_i2	25	19	Nezu_1	Hino_1	0.323872142723257	1.08807623703645	0.734081712941646	1.0
TRINITY_DN2500_c1_g2_i6	61	70	Nezu_1	Hino_1	-0.268227642250905	2.58433947780438	0.731242651552295	1.0
TRINITY_DN10963_c0_g3_i4	42	43	Nezu_1	Hino_1	-0.103837577921339	1.98164839279616	0.925514070880224	1.0
TRINITY_DN9128_c0_g1_i1	22	21	Nezu_1	Hino_1	-0.0030636400553465	1.05968766176565	1.0	1.0
TRINITY_DN1538_c0_g1_i1	159	137	Nezu_1	Hino_1	0.144532799838683	3.73237004403767	0.839180534050534	1.0
TRINITY_DN1289_c0_g1_i2	110	185	Nezu_1	Hino_1	-0.819489839228639	3.73757348257122	0.22923235150309	1.0
TRINITY_DN18145_c0_g1_i6	19	34	Nezu_1	Hino_1	-0.905207067660995	1.34386301897452	0.287651340752703	1.0
TRINITY_DN8034_c0_g1_i2	78	69	Nezu_1	Hino_1	0.106500663251414	2.74248776603977	0.910218230883357	1.0
TRINITY_DN6942_c0_g1_i8	37	23	Nezu_1	Hino_1	0.613049852320088	1.50084596628973	0.480463204685663	1.0
TRINITY_DN30009_c0_g1_i1	28	24	Nezu_1	Hino_1	0.151466287352941	1.31143501498011	0.942485042083628	1.0
TRINITY_DN10752_c0_g1_i1	23	28	Nezu_1	Hino_1	-0.3522497419571	1.28874560021307	0.659012396140712	1.0
TRINITY_DN6634_c0_g1_i2	51	51	Nezu_1	Hino_1	-0.0700240536769228	2.23359724334046	0.968422762044314	1.0
TRINITY_DN4069_c0_g1_i4	42	52	Nezu_1	Hino_1	-0.377306162746643	2.12291422954069	0.637939045435408	1.0
TRINITY_DN1215_c0_g1_i6	185	117	Nezu_1	Hino_1	0.590316184922465	3.75630331262185	0.389429368929925	1.0
TRINITY_DN31156_c0_g1_i1	320	1402	Nezu_1	Hino_1	-2.20108653597039	6.28047818885914	0.0013741808430272	0.196068886116923
TRINITY_DN9104_c0_g1_i3	51	68	Nezu_1	Hino_1	-0.484200851363603	2.45187638090539	0.515107057205674	1.0
TRINITY_DN7912_c0_g1_i1	387	355	Nezu_1	Hino_1	0.0543005863805605	5.04748874628269	0.939130225517899	1.0
TRINITY_DN5213_c0_g1_i16	25	32	Nezu_1	Hino_1	-0.42445738737239	1.43873179136584	0.592573264354885	1.0
TRINITY_DN14919_c0_g1_i11	101	67	Nezu_1	Hino_1	0.521130689781808	2.92638596333262	0.468108048418988	1.0
TRINITY_DN4175_c0_g1_i4	177	161	Nezu_1	Hino_1	0.0664438348484212	3.92221772275256	0.929174069061217	1.0
TRINITY_DN148_c0_g1_i2	79	39	Nezu_1	Hino_1	0.946014745829283	2.42775998303876	0.199631601421318	1.0
TRINITY_DN6776_c0_g1_i2	229	286	Nezu_1	Hino_1	-0.390671850182614	4.52903224588552	0.560570504564822	1.0
TRINITY_DN9217_c0_g1_i4	142	84	Nezu_1	Hino_1	0.686441201290438	3.34373190936624	0.321905325682141	1.0
TRINITY_DN753_c0_g1_i10	252	150	Nezu_1	Hino_1	0.67782590141318	4.16314132460539	0.320694601071914	1.0
TRINITY_DN452_c0_g1_i1	233	290	Nezu_1	Hino_1	-0.385732605202641	4.55105122172593	0.566510963466844	1.0
TRINITY_DN50_c0_g1_i4	463	566	Nezu_1	Hino_1	-0.359897424918164	5.52188858417592	0.588956686969518	1.0
TRINITY_DN2975_c0_g1_i2	279	248	Nezu_1	Hino_1	0.0996819892144443	4.55652999638854	0.888551167002032	1.0
TRINITY_DN7386_c0_g1_i3	74	84	Nezu_1	Hino_1	-0.252658731436472	2.84733500495417	0.731700514221487	1.0
TRINITY_DN21711_c0_g2_i1	36	22	Nezu_1	Hino_1	0.637444169087576	1.45494258657261	0.46719778805137	1.0
TRINITY_DN1154_c0_g1_i10	287	220	Nezu_1	Hino_1	0.313195503807784	4.49877267544945	0.642309959376908	1.0
TRINITY_DN639_c0_g1_i5	154	137	Nezu_1	Hino_1	0.0984740745812079	3.70861129456384	0.894510585773892	1.0
TRINITY_DN8832_c0_g1_i3	1426	1472	Nezu_1	Hino_1	-0.115989329963066	7.00930168105833	0.860767774662207	1.0
TRINITY_DN6_c0_g2_i3	33	42	Nezu_1	Hino_1	-0.416715335577937	1.81205300320095	0.599598442476288	1.0
TRINITY_DN5291_c0_g1_i2	356	400	Nezu_1	Hino_1	-0.238239423158738	5.07767168104515	0.720619553230408	1.0
TRINITY_DN598_c0_g2_i1	2165	2231	Nezu_1	Hino_1	-0.113512680020272	7.60973495125594	0.863172449711651	1.0
TRINITY_DN9095_c0_g1_i3	21	37	Nezu_1	Hino_1	-0.883309552296272	1.46526585329046	0.256416110841684	1.0
TRINITY_DN29026_c0_g1_i3	178	177	Nezu_1	Hino_1	-0.0620240968869606	3.99359201056619	0.942098296093655	1.0
TRINITY_DN10655_c0_g1_i3	20	20	Nezu_1	Hino_1	-0.0697597355073763	0.964918473137004	1.0	1.0
TRINITY_DN18073_c1_g2_i1	19	27	Nezu_1	Hino_1	-0.57396798472615	1.15249259739813	0.526982887080294	1.0
TRINITY_DN6210_c0_g1_i10	114	371	Nezu_1	Hino_1	-1.77143572197187	4.45651808636554	0.0102910118453561	0.505429461034642
TRINITY_DN882_c0_g1_i2	395	398	Nezu_1	Hino_1	-0.0810858658114416	5.14445088607804	0.908138041076031	1.0
TRINITY_DN19451_c0_g1_i10	30	39	Nezu_1	Hino_1	-0.447067444115231	1.69822103161062	0.571538974614718	1.0
TRINITY_DN7578_c0_g1_i15	67	68	Nezu_1	Hino_1	-0.0914000558884047	2.62486137176575	0.902788083869229	1.0
TRINITY_DN10405_c1_g1_i8	35	46	Nezu_1	Hino_1	-0.463026359490479	1.91811211858833	0.55621686822542	1.0
TRINITY_DN9742_c0_g1_i5	213	155	Nezu_1	Hino_1	0.388121834069954	4.04005437406343	0.572189457791535	1.0
TRINITY_DN7075_c0_g1_i12	89	47	Nezu_1	Hino_1	0.849284203176333	2.62680588457416	0.237549246742472	1.0
TRINITY_DN2837_c0_g1_i3	278	284	Nezu_1	Hino_1	-0.100956786070418	4.65087775879595	0.883315427092843	1.0
TRINITY_DN16603_c1_g1_i14	17	12	Nezu_1	Hino_1	0.428541515908397	0.547409586142509	0.638758743494483	1.0
TRINITY_DN4430_c0_g2_i6	193	84	Nezu_1	Hino_1	1.12880763518875	3.6282891230298	0.104065881630138	1.0
TRINITY_DN4147_c0_g1_i1	152	165	Nezu_1	Hino_1	-0.188441548073547	3.83352289783103	0.786771793524204	1.0
TRINITY_DN2754_c0_g1_i8	175	204	Nezu_1	Hino_1	-0.29121694686456	4.08945024682368	0.674414735808507	1.0
TRINITY_DN11675_c0_g1_i2	15	29	Nezu_1	Hino_1	-1.0150779638154	1.09605298529172	0.2446691295594	1.0
TRINITY_DN4430_c0_g1_i1	478	851	Nezu_1	Hino_1	-0.902164505032175	5.8958716341604	0.174264119469063	1.0
TRINITY_DN3009_c0_g1_i6	15	15	Nezu_1	Hino_1	-0.0696156324236062	0.592889253347356	1.0	1.0
TRINITY_DN6678_c0_g1_i5	29	42	Nezu_1	Hino_1	-0.602359555926873	1.73839233668054	0.438288209450926	1.0
TRINITY_DN9420_c0_g1_i8	22	11	Nezu_1	Hino_1	0.922269045523426	0.709885447600476	0.323905052136669	1.0
TRINITY_DN1663_c0_g1_i5	17	83	Nezu_1	Hino_1	-2.34906521028682	2.22216019422582	0.003069052577382	0.283189016114782
TRINITY_DN13690_c0_g1_i1	23	25	Nezu_1	Hino_1	-0.189501617748402	1.20672850991918	0.816582997004606	1.0
TRINITY_DN5383_c0_g1_i3	52	60	Nezu_1	Hino_1	-0.276028053362095	2.36547368402795	0.743421488800129	1.0
TRINITY_DN415_c1_g1_i1	59	105	Nezu_1	Hino_1	-0.900345352384324	2.90582003144558	0.208839757764693	1.0
TRINITY_DN1158_c0_g1_i5	1673	1790	Nezu_1	Hino_1	-0.167705672322676	7.26656572880959	0.799010712862889	1.0
TRINITY_DN729_c0_g1_i9	45	40	Nezu_1	Hino_1	0.0994364154677478	1.98001559933979	0.925514070880224	1.0
TRINITY_DN1836_c0_g1_i1	5304	5050	Nezu_1	Hino_1	0.0006017257316737	8.84353084840154	0.999607322434185	1.0
TRINITY_DN14610_c0_g1_i14	26	18	Nezu_1	Hino_1	0.457664310534028	1.08727834164799	0.609666047722183	1.0
TRINITY_DN1678_c0_g1_i1	461	652	Nezu_1	Hino_1	-0.570170053106434	5.63709739443812	0.391036408578719	1.0
TRINITY_DN8143_c0_g1_i1	992	1213	Nezu_1	Hino_1	-0.360322017850415	6.61853941603912	0.584818421581638	1.0
TRINITY_DN9972_c0_g1_i1	456	410	Nezu_1	Hino_1	0.083190221513071	5.26898947285952	0.903555067656959	1.0
TRINITY_DN7000_c0_g1_i6	227	217	Nezu_1	Hino_1	-0.0051954672252355	4.31249273358672	1.0	1.0
TRINITY_DN2461_c0_g1_i10	73	53	Nezu_1	Hino_1	0.390920688508412	2.52394854925579	0.598386345573613	1.0
TRINITY_DN4825_c0_g1_i2	655	1273	Nezu_1	Hino_1	-1.02871747274205	6.43275169046757	0.12158186002011	1.0
TRINITY_DN4025_c0_g1_i18	50	23	Nezu_1	Hino_1	1.04615851745758	1.76429227706164	0.188369774898864	1.0
TRINITY_DN17061_c0_g1_i3	571	665	Nezu_1	Hino_1	-0.29000033329623	5.78460406030816	0.662567417906353	1.0
TRINITY_DN5864_c0_g1_i1	528	443	Nezu_1	Hino_1	0.182988270856012	5.43221392855771	0.786429478530314	1.0
TRINITY_DN2214_c0_g1_i4	264	317	Nezu_1	Hino_1	-0.333995960685031	4.70114004497471	0.621893236742354	1.0
TRINITY_DN11392_c0_g1_i5	58	58	Nezu_1	Hino_1	-0.0700447187185103	2.41258989943205	0.971952604081547	1.0
TRINITY_DN405_c0_g1_i11	87	64	Nezu_1	Hino_1	0.372122932620752	2.77772259257662	0.619699786060772	1.0
TRINITY_DN9617_c0_g1_i1	399	197	Nezu_1	Hino_1	0.947567487212033	4.72358035585483	0.160982116372646	1.0
TRINITY_DN30585_c0_g1_i2	93	44	Nezu_1	Hino_1	1.0075231069414	2.63575868725668	0.161783622425779	1.0
TRINITY_DN1687_c0_g1_i7	1912	993	Nezu_1	Hino_1	0.87494068249366	7.00125280051293	0.185809806165386	1.0
TRINITY_DN4578_c0_g1_i4	25	31	Nezu_1	Hino_1	-0.378830382982254	1.41455476799859	0.634719431438351	1.0
TRINITY_DN13828_c0_g1_i2	29	19	Nezu_1	Hino_1	0.536982622028766	1.20214946148371	0.526982887080294	1.0
TRINITY_DN797_c0_g1_i6	128	110	Nezu_1	Hino_1	0.14828840407775	3.42242268725226	0.844494193695799	1.0
TRINITY_DN1494_c2_g1_i6	43	32	Nezu_1	Hino_1	0.3548706112505	1.8061533840042	0.674898242872318	1.0
TRINITY_DN6799_c0_g1_i1	248	124	Nezu_1	Hino_1	0.929130753805737	4.04994099948553	0.173595111911681	1.0
TRINITY_DN1532_c0_g1_i4	678	536	Nezu_1	Hino_1	0.268800824240074	5.75223640287525	0.684742807450618	1.0
TRINITY_DN1161_c0_g1_i3	681	675	Nezu_1	Hino_1	-0.0574177677097765	5.91514777486915	0.933046476770306	1.0
TRINITY_DN13471_c0_g1_i2	8809	7580	Nezu_1	Hino_1	0.146582514994202	9.50409727637833	0.82282372839547	1.0
TRINITY_DN593_c0_g2_i1	12505	12968	Nezu_1	Hino_1	-0.122645381889365	10.1434769572684	0.851302708080876	1.0
